"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2023_Q2",73,39,"mean",79,0.72327,"SP",1,50,12,0,-7.07541121706732,-4.0617996377022
"2023_Q4",73,39,"mean",79,0.72327,"SP",1,50,12,1.76910425635494,-9.54411821302169,0
"2024_Q1",73,39,"mean",79,0.72327,"SP",1,50,12,-2.63995011050087,-3.82257057260317,-4.33746732060379
"2024_Q2",73,39,"mean",79,0.72327,"SP",1,50,12,0,-7.71294474740134,0.157129485782273
"2022_Q1",85,67,"mean",70,0.61763,"SP",1,50,12,27.1658465803303,-14.0340154220283,27.0929756411664
"2022_Q3",85,67,"mean",70,0.61763,"SP",1,50,12,-2.22120089615957,-1.50371423316419,-3.009005696458
"2022_Q4",85,67,"mean",70,0.61763,"SP",1,50,12,8.16879066787802,-9.45315113701629,8.57480854038014
"2023_Q2",85,67,"mean",70,0.61763,"SP",1,50,12,-1.88173128962272,-3.78077751901737,-6.8582982906652
"2023_Q4",85,67,"mean",70,0.61763,"SP",1,50,12,-3.96913647302102,-2.22069109228917,-3.32396524709469
"2024_Q1",85,67,"mean",70,0.61763,"SP",1,50,12,-0.784434739843988,-3.24948588286342,-1.06053195243891
"2024_Q2",85,67,"mean",70,0.61763,"SP",1,50,12,11.8878031025367,-9.7865705376127,11.7251897930971
"2022_Q1",57,78,"mean",86,0.43596,"SP",1,50,12,67.9713456667017,-14.4102144526067,67.6683729935584
"2022_Q3",57,78,"mean",86,0.43596,"SP",1,50,12,1.19173031378743,-8.39091531891026,1.25517926553468
"2022_Q4",57,78,"mean",86,0.43596,"SP",1,50,12,-0.984237907605691,-3.44470402018597,-1.06157041787862
"2023_Q2",57,78,"mean",86,0.43596,"SP",1,50,12,-0.972804662857331,-3.93623848722822,-4.23680963598333
"2023_Q4",57,78,"mean",86,0.43596,"SP",1,50,12,0,-6.73610492657676,0
"2024_Q1",57,78,"mean",86,0.43596,"SP",1,50,12,-0.634062817617308,-3.00265597701204,-0.814486599051981
"2024_Q2",57,78,"mean",86,0.43596,"SP",1,50,12,-1.9046054991534,-4.59817077409455,-2.19400903796368
"2022_Q1",41,79,"mean",86,0.31396,"SP",1,50,12,0.153235763357808,-8.69401338296009,0.0995377972637222
